Threads,Mat-Mat Time (sec),MFLOPS
1,0.306797,52151.728188
2,0.165818,96491.089331
3,0.109427,146215.745426
4,0.079364,201601.497692
5,0.066960,238947.627469
6,0.055479,288397.981232
7,0.051457,310937.722808
8,0.044721,357772.151757
9,0.041957,381346.432276
10,0.040145,398558.616959
11,0.037988,421184.526612
12,0.034760,460295.751221
13,0.034199,467848.148842
14,0.033086,483594.663180
15,0.033083,483631.774151
16,0.031579,506665.509329
17,0.031327,510740.547742
18,0.030512,524387.971059
19,0.029912,534907.400659
20,0.029363,544904.559113
21,0.029338,545372.433131
22,0.029121,549428.284304
23,0.029250,547012.646118
24,0.027942,572609.568792
25,0.027903,573419.162085
26,0.027905,573368.811182
27,0.028009,571252.702008
28,0.027793,575685.557216
29,0.028136,568659.398893
30,0.027736,576869.066111
31,0.027949,572464.519642
32,0.028426,562864.578698
33,0.028379,563800.156986
34,0.028734,556830.266697
35,0.029022,551297.364811
36,0.028949,552702.434164
37,0.028466,562073.074244
38,0.029905,535022.942756
39,0.029322,545657.914222
40,0.029208,547801.119257
41,0.030294,528161.236126
42,0.030352,527146.573270
43,0.029771,537427.098663
44,0.029470,542915.976003
45,0.030353,527125.207028
46,0.030538,523935.325395
47,0.031184,513078.362028
48,0.031032,515604.776866
